zone_id,n_stations,capacity_points,mean_points_per_station,max_points_per_station,centroid_lon,centroid_lat,area_m2,perimeter_m,station_density,points_density,shape_index
102,4,30,7.5,12,114.1029445,22.5383395,714419.3333,3501.2154,5.598952622857301,41.99214467142976,4.142306503322865
104,3,19,6.333333333333333,12,114.112574,22.554167333333336,1171733.51,4683.8446,2.5603091269447438,16.21529113731671,4.327011530576566
105,12,93,7.75,20,114.12228449999999,22.550975250000004,772556.6757,3472.0644,15.53284099076228,120.37951767840767,3.950231947846928
106,6,96,16.0,60,114.12334433333335,22.541583333333335,578717.374,3486.9251,10.367755090069233,165.88408144110772,4.583627943108999
107,11,88,8.0,12,114.13145990909089,22.54293,888716.949,4445.4393,12.377394188754241,99.01915351003393,4.715556504278643
108,5,33,6.6,9,114.1291334,22.5517216,1268992.177,4624.9846,3.9401346128235435,26.004888444635387,4.105639552644324
109,5,39,7.8,12,114.140705,22.5622604,3157104.734,8051.7688,1.5837295310963857,12.353090342551809,4.531550260928538
110,11,69,6.2727272727272725,14,114.14726445454545,22.548112818181817,2139446.673,7196.6595,5.141516327011531,32.25132968761778,4.920171286541389
111,11,85,7.7272727272727275,12,114.12752372727273,22.565236272727272,1762254.322,6156.0443,6.24200483589451,48.23367373191212,4.637324043328886
115,2,23,11.5,12,114.115163,22.574229,725085.3164,4897.8817,2.758296099457463,31.720405143760818,5.751931906691722
123,3,28,9.333333333333334,12,114.14219800000001,22.581067,3689377.051,9522.7455,0.8131454059939074,7.589357122609803,4.957761798629598
124,5,56,11.2,26,114.18848820000001,22.563156,26919024.71,25128.1089,0.18574224192240432,2.080313109530928,4.843174811992734
202,9,57,6.333333333333333,12,114.05095733333332,22.557551444444446,2044358.687,5688.5707,4.402358576912487,27.88160432044575,3.9785480914339004
204,8,57,7.125,18,114.06171175,22.563812375,1111455.492,4519.2385,7.197769103290372,51.2841048609439,4.286661826338852
205,3,45,15.0,30,114.06568866666667,22.545090000000002,892615.5256,4458.9091,3.360909500183132,50.41364250274698,4.719504457788845
206,8,127,15.875,30,114.065694125,22.53666,653157.6518,3521.9589,12.248191501627907,194.44004008834304,4.357880069156972
208,2,13,6.5,7,114.0978535,22.5642135,1153273.954,4421.1025,1.7341933311363071,11.272256652385996,4.116843349215438
212,4,27,6.75,12,114.09517625000001,22.548613500000002,797566.5106,3572.0987,5.01525571452448,33.852976073040246,3.9998158344643184
213,11,74,6.7272727272727275,24,114.08999254545455,22.536201636363636,1726685.513,6408.4087,6.370586836561939,42.85667508232577,4.876896947398647
214,2,9,4.5,6,114.079668,22.536392499999998,1268024.981,4595.687,1.5772559925615535,7.097651966526991,4.081187404162367
215,2,52,26.0,40,114.07308499999999,22.566139999999997,1711875.143,6129.3717,1.1683095044508163,30.37604711572122,4.684679841779851
216,3,24,8.0,12,114.07070866666668,22.541229333333334,1869575.601,7478.0719,1.6046422505703208,12.837138004562567,5.469128414328861
217,10,129,12.9,24,114.02406900000001,22.5281206,1446921.621,5092.7753,6.911224391746096,89.15479465352463,4.2338163119859855
223,16,187,11.6875,54,114.05661562499999,22.5085180625,2415608.675,7180.3276,6.623589394089257,77.41320104341818,4.619882913699883
224,21,133,6.333333333333333,16,114.06547880952381,22.52022661904762,1827878.063,6198.1673,11.488731346517614,72.76196519461156,4.58447579500086
225,4,20,5.0,8,114.00775625,22.53414275,1576359.218,6120.9709,2.537492694764703,12.687463473823515,4.875203172049356
226,8,72,9.0,18,114.021964625,22.5350875,1206559.911,4921.4459,6.6304208577339345,59.673787719605414,4.480415280131482
227,7,73,10.428571428571429,24,114.03189642857141,22.53303071428571,1643063.863,5777.1089,4.260333488936334,44.429192098907485,4.506956144860518
235,8,43,5.375,13,114.015710125,22.56383275,10820556.2,24877.3276,0.7393335288993741,3.9739177178341354,7.562735868357206
307,15,169,11.266666666666667,30,113.94033826666667,22.498795466666667,3207891.135,7782.7606,4.675969155044284,52.68258581349894,4.345340976226733
309,9,136,15.11111111111111,30,113.8984141111111,22.499489333333333,7636038.231,13147.1368,1.1786216527128857,17.810282752105827,4.757700887884717
310,1,10,10.0,10,113.888291,22.489926,4180337.833,8712.3216,0.2392151160860496,2.3921511608604957,4.261163594651456
311,5,64,12.8,22,113.8890598,22.480635200000002,6438287.336,19362.8594,0.776604046862316,9.940531799837645,7.631050268230349
316,1,4,4.0,4,113.900938,22.550857,5513679.088,11176.98,0.18136710244461,0.72546840977844,4.759964690744879
320,4,25,6.25,10,113.913409,22.56502875,3289234.902,8135.6553,1.2160882755949793,7.60055172246862,4.4858535879602535
321,4,44,11.0,17,113.935546,22.5593335,1270951.606,4570.2598,3.1472480786180306,34.61972886479834,4.053931270283237
322,2,24,12.0,12,113.9525085,22.558717,1237508.471,4476.7488,1.6161505532029607,19.393806638435528,4.024284126726343
323,1,41,41.0,41,113.947256,22.546191,1910859.277,5543.0161,0.523324774375837,21.456315749409317,4.009883798341959
324,7,60,8.571428571428571,23,113.93385142857143,22.547291142857144,1768189.627,5365.1321,3.958851411133179,33.93301209542725,4.034744148091843
325,5,49,9.8,18,113.9495944,22.5407428,994567.4101,4109.7808,5.027311320705018,49.26765094290918,4.120989868268147
326,7,106,15.142857142857142,41,113.93035371428572,22.535729,1963022.086,6447.5728,3.565930332584144,53.99837360770275,4.601862747884425
328,6,75,12.5,18,113.96927483333333,22.548379833333332,2812415.545,8117.6664,2.1333973959385153,26.66746744923144,4.84051371417844
329,17,254,14.941176470588236,49,113.9795695882353,22.54494094117647,3338853.123,8176.1868,5.0915686835380445,76.07402621286255,4.474578667236777
330,4,30,7.5,12,113.98250974999999,22.535186,2918692.653,8592.7535,1.370476605643479,10.278574542326092,5.029654704587118
331,2,36,18.0,18,113.96515550000001,22.5273085,2840625.569,9120.979,0.7040702660097755,12.67326478817596,5.411709303103346
332,12,147,12.25,30,113.95474833333333,22.542768166666665,3541905.542,10892.7484,3.3880067827060083,41.5030830881486,5.787872892006862
333,5,22,4.4,6,113.9610776,22.5671954,2415248.82,9275.2957,2.070180081901458,9.108792360366415,5.968247498443394
335,19,249,13.105263157894736,63,113.97514931578948,22.577911263157898,18322509.38,22022.1969,1.036975864274329,13.589841589700416,5.144796071913505
340,1,23,23.0,23,113.965995,22.587332,1507854.982,6029.195,0.6631937500207165,15.25345625047648,4.909977960338628
343,1,28,28.0,28,113.994306,22.59737,2497138.177,7339.5401,0.4004584164426877,11.212835660395255,4.644591900035807
346,3,61,20.333333333333332,32,113.93734866666667,22.621212,35455182.04,37122.9824,0.0846138653756014,1.7204819293038949,6.234519672960649
