timestamp,occupancy,volume,volume_11kw,duration,e_price,s_price,utilisation,total_capacity_points
2022-09-01 00:00:00,5753,121076,42220,4830.25,0.899585,0.763734,0.328143,17532
2022-09-01 01:00:00,5938.5,123248,44908.1,4970.25,0.899519,0.763217,0.338723,17532
2022-09-01 02:00:00,6374.5,109904,43510.1,4886.17,0.899537,0.763946,0.363592,17532
2022-09-01 03:00:00,6310,102326,43176.4,4898.92,0.89961,0.763946,0.359913,17532
2022-09-01 04:00:00,5805.5,97151.1,39668.4,4774.5,0.899585,0.763253,0.331137,17532
2022-09-01 05:00:00,5831.5,98994.7,39009.5,4829.92,0.899438,0.763273,0.33262,17532
2022-09-01 06:00:00,5942,113596,39832.5,4896.17,0.899603,0.763225,0.338923,17532
2022-09-01 07:00:00,5485,110745,35594.2,4307.5,0.914958,0.759681,0.312856,17532
2022-09-01 08:00:00,4784,79089.6,29823.3,3469,0.956742,0.745813,0.272872,17532
2022-09-01 09:00:00,4249.5,57247.9,26620.2,3044.83,0.973065,0.717082,0.242385,17532
2022-09-01 10:00:00,4061,49326.4,23994.3,2945.42,1.00203,0.701774,0.231634,17532
2022-09-01 11:00:00,3966,36602.2,22215.8,2692.58,1.00525,0.678477,0.226215,17532
2022-09-01 12:00:00,3964,81459.3,28140.8,3076.67,0.962447,0.740044,0.226101,17532
2022-09-01 13:00:00,4631.5,74375.9,28314.6,3092.5,0.959386,0.743747,0.264174,17532
2022-09-01 14:00:00,4527.5,54940.7,24843.8,2835.83,1.00069,0.696188,0.258242,17532
2022-09-01 15:00:00,3842,42127.7,22682.8,2633.42,1.00683,0.683852,0.219142,17532
2022-09-01 16:00:00,3715,46176.9,23330.4,2705.67,1.01613,0.674934,0.211898,17532
2022-09-01 17:00:00,3892,57714.3,24756.9,2836.83,0.991879,0.698674,0.221994,17532
2022-09-01 18:00:00,4449,53593.2,22928.5,2994.08,0.990264,0.697907,0.253765,17532
2022-09-01 19:00:00,4436,66831.3,28611,3581.92,0.974751,0.68908,0.253023,17532
2022-09-01 20:00:00,5044,68705.9,31127.4,4020.42,0.974327,0.688635,0.287703,17532
2022-09-01 21:00:00,5538,77018.8,34086.5,4465.08,0.961321,0.684194,0.31588,17532
2022-09-01 22:00:00,5752,73034.5,34315.6,4518.75,0.960138,0.683987,0.328086,17532
2022-09-01 23:00:00,5960,77559.7,35462.4,4681.67,0.941982,0.701505,0.33995,17532
2022-09-02 00:00:00,6249,127720,46087.4,5165.75,0.901897,0.759713,0.356434,17532
2022-09-02 01:00:00,6202,130680,47406.4,5194.17,0.898592,0.764066,0.353753,17532
2022-09-02 02:00:00,6562,109490,45335.6,5077.5,0.899213,0.763928,0.374287,17532
2022-09-02 03:00:00,6131.5,97955.5,42701.2,4991.25,0.899581,0.763734,0.349732,17532
2022-09-02 04:00:00,6068,101417,43046.4,5007.33,0.899599,0.763789,0.34611,17532
2022-09-02 05:00:00,6188,103163,41135.5,4976.08,0.898739,0.763884,0.352955,17532
2022-09-02 06:00:00,6345.5,113534,41158,4984.08,0.899249,0.763946,0.361938,17532
2022-09-02 07:00:00,6103,113907,37276.9,4426.67,0.918121,0.759221,0.348106,17532
2022-09-02 08:00:00,4903,80091.9,30264.8,3510.08,0.95518,0.74533,0.27966,17532
2022-09-02 09:00:00,4603,61111.2,28168.2,3322.5,0.973594,0.716756,0.262548,17532
2022-09-02 10:00:00,4766.5,50924.2,25248.5,3207.33,1.00125,0.692178,0.271874,17532
2022-09-02 11:00:00,4065,40870,23362.8,2948.5,1.00444,0.67609,0.231862,17532
