timestamp,utilisation,occupancy,volume,volume_11kw,duration,e_price,s_price
2022-09-01,0.285791,5010.48,1.87284e+06,769174,91988.3,0.953711,0.72209
2022-09-02,0.291043,5102.56,1.89581e+06,789316,94361.1,0.953354,0.721566
2022-09-03,0.277616,4867.17,1.76925e+06,706645,88481.9,0.951377,0.723479
2022-09-04,0.24846,4356,1.37509e+06,589849,76498.5,0.951407,0.723792
2022-09-05,0.247636,4341.56,1.65967e+06,633365,77155.6,0.951709,0.723839
2022-09-06,0.272413,4775.94,1.90675e+06,738755,85954.2,0.951653,0.724079
2022-09-07,0.268745,4711.65,1.85869e+06,731637,85618.5,0.952463,0.723721
2022-09-08,0.26994,4732.58,1.89521e+06,737830,87120.5,0.952189,0.723927
2022-09-09,0.282024,4944.44,1.9338e+06,778398,91642.8,0.952743,0.723575
2022-09-10,0.304869,5344.96,2.00571e+06,823456,100662,0.952421,0.723493
2022-09-11,0.288825,5063.69,1.76571e+06,757108,93975.9,0.952411,0.723372
2022-09-12,0.297171,5210,1.8863e+06,801679,98255,0.952567,0.723262
2022-09-13,0.289209,5070.42,1.93072e+06,794892,94351.2,0.95273,0.723662
2022-09-14,0.337385,5915.04,2.13476e+06,944594,114400,0.952933,0.723222
2022-09-15,0.288886,5064.75,1.98821e+06,804119,94063.8,0.952599,0.723567
2022-09-16,0.287789,5045.52,1.98769e+06,817888,94596.7,0.954214,0.723125
2022-09-17,0.31016,5437.73,2.08367e+06,847948,101955,0.95652,0.721066
2022-09-18,0.307534,5391.69,1.99371e+06,825207,100744,0.952832,0.724751
2022-09-19,0.284818,4993.44,1.94522e+06,765728,91372.3,0.95233,0.725255
2022-09-20,0.296959,5206.29,1.95636e+06,785486,92680.2,0.954815,0.721866
2022-09-21,0.287175,5034.75,2.00507e+06,781677,91644.3,0.954832,0.722767
2022-09-22,0.286902,5029.96,1.97897e+06,786357,92940.1,0.954466,0.723123
2022-09-23,0.289313,5072.23,1.92827e+06,785771,93607,0.954106,0.723493
2022-09-24,0.313265,5492.17,2.04365e+06,833413,100129,0.954517,0.722769
2022-09-25,0.305178,5350.38,1.94898e+06,816539,100861,0.954785,0.72286
2022-09-26,0.290983,5101.52,1.95314e+06,812120,95498.8,0.954801,0.722821
2022-09-27,0.287782,5045.4,1.9716e+06,796633,94248.6,0.954229,0.723568
2022-09-28,0.286994,5031.58,1.97826e+06,793823,94025.5,0.955455,0.722907
2022-09-29,0.292334,5125.21,2.01571e+06,809421,95659.2,0.954772,0.723262
2022-09-30,0.289996,5084.21,1.97506e+06,808294,95274.7,0.954965,0.723212
2022-10-01,0.326837,5730.1,2.028e+06,866500,109808,0.954689,0.719703
2022-10-02,0.277156,4859.1,1.60988e+06,710127,88288.2,0.953026,0.721936
2022-10-03,0.266479,4671.92,1.60274e+06,684318,83887.1,0.952949,0.722139
2022-10-04,0.271915,4767.21,1.61721e+06,685124,85105.4,0.953031,0.722116
2022-10-05,0.282575,4954.1,1.72434e+06,727556,89877.6,0.952617,0.722236
2022-10-06,0.291341,5107.79,1.79435e+06,748093,93650.8,0.95301,0.722174
2022-10-07,0.296501,5198.25,1.8608e+06,773497,95647.8,0.952396,0.7221
2022-10-08,0.284779,4992.75,1.83627e+06,777244,91863.3,0.953264,0.72214
2022-10-09,0.284639,4990.29,1.85931e+06,784049,93101.2,0.953388,0.721787
2022-10-10,0.279053,4892.35,1.80468e+06,748255,90786.6,0.953261,0.721884
2022-10-11,0.281845,4941.31,1.79697e+06,746619,91288.3,0.95315,0.722681
2022-10-12,0.280611,4919.67,1.76407e+06,736884,90459.2,0.953492,0.722187
2022-10-13,0.278496,4882.58,1.767e+06,737939,90299.9,0.953742,0.721615
2022-10-14,0.281936,4942.9,1.77909e+06,768493,92111.2,0.953244,0.722099
2022-10-15,0.296312,5194.94,1.88869e+06,806078,98635.8,0.952953,0.721989
2022-10-16,0.294077,5155.75,1.86915e+06,789775,97445.3,0.952758,0.722697
2022-10-17,0.275838,4836,1.75819e+06,748320,90020.7,0.953283,0.722247
2022-10-18,0.272925,4784.92,1.75697e+06,728345,88790.2,0.95355,0.721895
2022-10-19,0.26714,4683.5,1.76563e+06,736143,87848.7,0.952317,0.721788
2022-10-20,0.269294,4721.27,1.77753e+06,738558,88845.4,0.952711,0.721696
2022-10-21,0.279491,4900.04,1.85111e+06,771509,92791.2,0.952375,0.722917
2022-10-22,0.28691,5030.1,1.92236e+06,799060,97550.2,0.952284,0.722038
2022-10-23,0.290775,5097.88,1.81605e+06,773965,95715.4,0.951314,0.7233
2022-10-24,0.263758,4624.21,1.74491e+06,683487,77383.5,0.952019,0.721216
2022-10-25,0.276502,4847.62,1.83683e+06,765726,92317.1,0.952054,0.721191
2022-10-26,0.318867,5590.38,1.53834e+06,479642,50789,0.951685,0.721631
2022-10-27,0.31831,5580.6,1.47548e+06,438208,44043.2,0.952707,0.720973
2022-10-28,0.315809,5536.77,1.64239e+06,515041,54840.2,0.952171,0.721213
2022-10-29,0.315689,5534.67,1.65874e+06,528312,57676.3,0.951888,0.721303
2022-10-30,0.31413,5507.33,1.60312e+06,519387,58022.3,0.952048,0.721087
2022-10-31,0.310309,5440.33,1.57118e+06,526531,57036.5,0.951917,0.721597
