zone_id,n_flagged
102,4344
904,4344
967,4344
966,4344
965,4344
958,4344
943,4344
937,4344
903,4344
1009,4344
902,4344
901,4344
900,4344
897,4344
895,4344
893,4344
969,4344
972,4344
974,4344
975,4344
977,4344
979,4344
981,4344
982,4344
983,4344
984,4344
986,4344
987,4344
988,4344
989,4344
991,4344
996,4344
998,4344
891,4344
890,4344
888,4344
804,4344
745,4344
746,4344
751,4344
771,4344
773,4344
775,4344
777,4344
781,4344
783,4344
790,4344
792,4344
795,4344
799,4344
802,4344
805,4344
887,4344
809,4344
832,4344
842,4344
844,4344
848,4344
849,4344
851,4344
852,4344
855,4344
858,4344
862,4344
881,4344
882,4344
883,4344
1000,4344
1011,4344
741,4344
1119,4344
1130,4344
1126,4344
1125,4344
1124,4344
1121,4344
1120,4344
1115,4344
1015,4344
1114,4344
1113,4344
1112,4344
1111,4344
1110,4344
1109,4344
1134,4344
1135,4344
1137,4344
1138,4344
1143,4344
1144,4344
1149,4344
1154,4344
1156,4344
1159,4344
1162,4344
1163,4344
1164,4344
1166,4344
1167,4344
1168,4344
1172,4344
1107,4344
1106,4344
1104,4344
1075,4344
1026,4344
1029,4344
1031,4344
1043,4344
1049,4344
1060,4344
1061,4344
1062,4344
1066,4344
1067,4344
1068,4344
1071,4344
1072,4344
1074,4344
1076,4344
1102,4344
1081,4344
1082,4344
1083,4344
1085,4344
1087,4344
1088,4344
1090,4344
1092,4344
1094,4344
1095,4344
1096,4344
1098,4344
1099,4344
1100,4344
744,4344
737,4344
104,4344
330,4344
343,4344
340,4344
335,4344
333,4344
332,4344
331,4344
329,4344
527,4344
328,4344
326,4344
325,4344
324,4344
323,4344
322,4344
346,4344
347,4344
348,4344
406,4344
408,4344
501,4344
502,4344
506,4344
508,4344
511,4344
512,4344
513,4344
516,4344
519,4344
520,4344
522,4344
525,4344
321,4344
320,4344
316,4344
208,4344
105,4344
106,4344
107,4344
108,4344
109,4344
110,4344
111,4344
115,4344
123,4344
124,4344
202,4344
204,4344
205,4344
206,4344
212,4344
311,4344
213,4344
214,4344
215,4344
216,4344
217,4344
223,4344
224,4344
225,4344
226,4344
227,4344
235,4344
307,4344
309,4344
310,4344
526,4344
528,4344
733,4344
691,4344
703,4344
701,4344
700,4344
699,4344
698,4344
693,4344
690,4344
529,4344
687,4344
686,4344
682,4344
681,4344
659,4344
656,4344
704,4344
705,4344
706,4344
708,4344
709,4344
710,4344
711,4344
712,4344
715,4344
716,4344
718,4344
719,4344
724,4344
728,4344
729,4344
731,4344
732,4344
655,4344
651,4344
647,4344
587,4344
552,4344
553,4344
558,4344
559,4344
568,4344
570,4344
575,4344
576,4344
577,4344
578,4344
580,4344
582,4344
584,4344
585,4344
588,4344
644,4344
589,4344
592,4344
594,4344
595,4344
596,4344
598,4344
601,4344
628,4344
631,4344
632,4344
633,4344
637,4344
638,4344
643,4344
1173,4344
